Jabatan,Asesment,Waktu (detik),Konteks Soal,Soal,A,B,C,D,Jawaban,Feedback
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,"Sebelum melakukan perawatan AC, teknisi wajib melakukan…",Pemeriksaan tekanan refrigeran dan kebersihan filter udara,Penggantian kompresor,Penggantian kabel daya,Pengukuran suhu ruangan,A,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,"Dalam peminjaman alat, pencatatan pada logbook dilakukan agar…",Barang cepat dikembalikan,Mengetahui riwayat penggunaan dan tanggung jawab pengguna,Mengurangi beban admin,Menghindari audit,B,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Jadwal pemeliharaan lift harus disusun dengan memperhatikan…,Jumlah pengguna harian,Jumlah lantai dan jam operasi,Ketinggian bangunan dan interval penggunaan beban puncak,Semuanya benar,D,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Rencana kebutuhan peralatan sarpras sebaiknya disusun berdasarkan…,"Kondisi aktual, frekuensi penggunaan, dan masa pakai teknis",Usulan lisan pengguna,Anggaran tahun lalu,Perintah pimpinan,A,
Teknisi,Layanan Sarana dan Prasarana,750,Mudah,Audit penggunaan listrik kampus dilakukan untuk…,Mengetahui tagihan bulanan,Menganalisis pola beban dan potensi penghematan energi,Menentukan jumlah lampu,Menilai kualitas jaringan Wi-Fi,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Tujuan utama dari pemeliharaan preventif pada sistem sarana prasarana adalah...,Mengurangi biaya tenaga kerja,Meningkatkan umur pakai dan mencegah kerusakan besar,Mempercepat proses pengadaan barang,Mengurangi frekuensi inspeksi,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Standar operasional pemeliharaan rutin biasanya disusun berdasarkan...,Laporan kerusakan sebelumnya,Manual teknis pabrikan dan kebutuhan operasional,Estimasi subjektif teknisi senior,Kebijakan tahunan keuangan,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,"Jika ditemukan retakan kecil pada dinding beton, langkah pertama teknisi adalah...",Mengecat ulang agar terlihat bersih,Melaporkan ke pihak struktur bangunan untuk analisis,Menambal dengan plamir,Membiarkan karena tidak berpengaruh,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Pemeriksaan instalasi listrik berkala bertujuan untuk...,Mengetahui tingkat konsumsi listrik per alat,Menghindari terjadinya hubung singkat atau kebakaran,Menambah daya gedung,Mengurangi biaya pemeliharaan,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,"Dalam pemeliharaan peralatan elektronik, kesalahan paling umum yang menyebabkan kerusakan adalah...",Penggunaan alat tanpa SOP,Suhu ruangan terlalu rendah,Sering dimatikan saat digunakan,Dibersihkan terlalu sering,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,"Dalam proses pengelolaan peminjaman peralatan, siapa yang bertanggung jawab melakukan validasi kondisi alat?",Pengguna akhir,Teknisi sarpras,Kepala unit kerja,Sekretaris administrasi,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Kegiatan kalibrasi peralatan laboratorium termasuk dalam kategori...,Pemeliharaan preventif,Pemeliharaan korektif,Penggantian total,Penilaian aset,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Tujuan pemeriksaan sistem penerangan darurat adalah...,Menentukan warna lampu,Memastikan sistem berfungsi saat listrik padam,Menghemat konsumsi energi,Menguji efisiensi bohlam,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Tindakan yang tepat jika panel listrik mengeluarkan percikan kecil saat diaktifkan adalah...,Matikan segera sumber utama dan laporkan,Tutup dengan kain isolator,Coba hidupkan ulang beberapa kali,Biarkan menyala karena hal wajar,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,"Dalam kegiatan pemeliharaan atap, penggunaan tali pengaman (safety harness) termasuk bagian dari...",SOP pembersihan,Prosedur K3,Pelaporan kegiatan,Audit keamanan,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Salah satu prinsip perawatan sarpras berbasis efisiensi energi adalah...,Menggunakan lampu LED dan sensor gerak,Menambah daya listrik utama,Menyalakan AC terus-menerus,Mengurangi ventilasi alami,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,"Jika sebuah proyektor menunjukkan tanda overheating, langkah paling tepat adalah...",Menyalakan kipas eksternal,Mematikan dan membersihkan filter udara,Menurunkan brightness layar,Melepaskan lampu proyektor,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Pengecekan APAR dilakukan setiap...,Bulan,Tiga bulan,Enam bulan,Satu tahun,C,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,"Dalam pelaporan hasil pemeliharaan, bagian yang tidak boleh diabaikan adalah...",Tanggal dan identitas teknisi pelaksana,Jenis font laporan,Jumlah halaman,Warna tabel,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Rambu keselamatan yang pudar harus...,Disimpan di gudang,Segera diganti dengan yang baru,Dihapus agar tidak menyesatkan,Dicat ulang dengan warna gelap,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Pemeriksaan sistem tata udara (AC) meliputi pengecekan tekanan refrigerant. Tujuan utamanya adalah...,Mengetahui jumlah pendingin yang digunakan,Menjaga performa pendinginan optimal,Menghemat daya listrik,Mengetahui kapasitas ruangan,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Penggunaan panel surya di lingkungan kampus bertujuan untuk...,Mengurangi beban jaringan listrik utama,Menyerap panas ruangan,Mengatur distribusi air,Meningkatkan suhu udara,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Pemeliharaan sistem pompa air dilakukan dengan fokus pada...,Kebersihan ruang pompa,Tekanan air dan kondisi bearing motor,Jumlah air yang dihasilkan,Warna pipa air,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,"Inspeksi rutin gedung melibatkan pengecekan dinding, plafon, dan lantai untuk...",Menentukan usia bangunan,Mendeteksi potensi kerusakan struktural,Menilai estetika interior,Menentukan pola cat,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Dokumentasi hasil inspeksi sarpras digunakan untuk...,Keperluan audit dan perencanaan pemeliharaan lanjutan,Pameran visual proyek,Arsip dekoratif,Penghargaan staf,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,"Dalam pemeliharaan jaringan listrik, pengecekan continuity bertujuan memastikan...",Arus listrik mengalir dengan benar tanpa hambatan,Tegangan berlebih tersedia,Grounding tidak terhubung,Arus terputus di ujung sirkuit,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Tanda kebocoran pada plafon gypsum biasanya menunjukkan masalah pada...,Pipa air atau atap di atasnya,Dinding luar,Saluran udara,Sistem kelistrikan,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,"Untuk mencegah overheating pada peralatan listrik, teknisi perlu memastikan...",Sirkulasi udara cukup dan beban listrik tidak berlebih,Kabel disusun rapi tanpa isolasi,Alat dibiarkan menyala 24 jam,Penggunaan daya maksimum,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Pemeliharaan sistem sanitasi mencakup kegiatan...,"Pengecekan saluran air, septic tank, dan pompa limbah",Pengecatan ulang dinding,Penggantian lampu,Pemolesan lantai,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,"Dalam manajemen aset sarpras, data barang rusak harus...",Dihapus dari sistem,Dilaporkan untuk penilaian perbaikan atau penghapusan,Dipertahankan tanpa catatan,Disimpan di ruang tertutup,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Prinsip utama predictive maintenance adalah...,Melakukan perawatan berdasarkan jadwal tetap,Menggunakan data sensor dan analisis kondisi alat,Menunggu alat rusak,Mengganti alat tiap tahun,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,"Dalam pemeliharaan kebersihan gedung, area yang paling kritis dan memerlukan pemeriksaan harian adalah...",Lantai dan toilet,Plafon,Ruang server,Area taman,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Penerapan konsep Green Building di kampus termasuk dalam kategori...,Pengelolaan limbah dan efisiensi energi,Penambahan jumlah AC,Penggunaan lampu pijar,Pengurangan ventilasi alami,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,"Dalam penggunaan alat ukur listrik, teknisi harus memastikan alat tersebut...",Telah dikalibrasi dan berfungsi baik,Tersimpan di tempat panas,Hanya digunakan oleh teknisi baru,Tidak diuji setelah dipakai,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sedang,Tujuan akhir dari kegiatan pemeliharaan sarana dan prasarana adalah...,"Meningkatkan kenyamanan, keamanan, dan efisiensi operasional aset",Menghemat biaya jangka pendek,Meminimalkan laporan kegiatan,Mengurangi jumlah teknisi,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,Format “Peta Kerja Perawatan” biasanya memuat…,"Nama vendor, jumlah tenaga kerja, dan warna cat","Jadwal, lokasi, jenis pekerjaan, tenaga pelaksana, serta estimasi durasi",Hanya data kerusakan,Anggaran umum tanpa rincian,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,Pengendalian proses perbaikan sarpras dilakukan dengan alat bantu berupa…,Jadwal kerja manual,Work order tracking sheet dan checklist hasil inspeksi,Laporan keuangan,Surat pengantar,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Jika alat yang dipinjam rusak setelah digunakan, langkah prosedural pertama adalah…",Mengembalikan tanpa laporan,Menyusun berita acara kerusakan disertai foto dan kronologi,Menunggu audit sarpras,Langsung perbaiki sendiri,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Dalam perhitungan volume pekerjaan perbaikan plafon gypsum berukuran 8 m × 6 m dengan 15% area rusak, berapa luas yang perlu diganti?","4,8 m²","5,4 m²","7,2 m²","9,0 m²",C,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Saat menyusun RAB untuk pekerjaan pengecatan tembok, satuan pekerjaan yang benar digunakan dalam analisis harga satuan adalah…",m³,liter,m²,unit,C,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Jika dalam survei ditemukan kelembapan dinding >70% RH, tindakan teknis sebelum pengecatan adalah…",Mengeringkan dengan blower dan aplikasi waterproofing primer,Langsung mengecat dua lapis,Mengganti cat dengan warna muda,Menambah pencahayaan ruangan,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Untuk menilai efektivitas perawatan AC, indikator teknis paling valid adalah…",Suhu ruangan,Ampere kerja kompresor dan delta suhu udara masuk-keluar evaporator,Jumlah AC yang dibersihkan,Jadwal servis,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Untuk peralatan yang sering dipinjam seperti measuring tools, metode pemeliharaan preventif yang tepat adalah…",Kalibrasi berkala sesuai standar ISO dan pencatatan hasil uji,Penggunaan bebas tanpa kontrol,Penggantian setiap 6 bulan,Simpan tanpa pemeriksaan,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Saat inspeksi atap dak beton ditemukan retak rambut memanjang 0,3 mm, tindakan teknis perbaikan yang benar adalah…",Menutup dengan plester semen biasa,Mengisi dengan bahan injeksi epoxy low-viscosity,Menambah lapisan cat,Mengecat ulang,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Untuk menentukan jadwal perawatan pompa air, parameter operasional yang harus dipantau adalah…",Suhu ruang pompa,"Arus motor, tekanan output, dan debit aktual",Warna cat pompa,Usia pompa,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Dalam pemeriksaan sistem instalasi listrik gedung, resistansi isolasi kabel idealnya tidak kurang dari…","0,1 MΩ","0,5 MΩ",1 MΩ,5 MΩ,C,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Jika sistem drainase tersumbat dan air menggenang >5 cm selama >2 jam, maka risiko utama adalah…",Gangguan estetika,Penurunan daya dukung tanah dan kerusakan fondasi,Bau tak sedap,Serangan hama,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,Pemeriksaan APAR tipe dry chemical powder harus memastikan bahwa…,Berat tabung tidak berubah >10% dari nominal,Warna cat masih cerah,Diletakkan di ruang ber-AC,Tali segel masih utuh,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Dalam pemeriksaan jalur evakuasi, jarak maksimal antar tanda arah keluar adalah…",10 meter,15 meter,30 meter,45 meter,C,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,Perawatan lampu taman berbasis solar cell perlu memperhatikan…,Tegangan output panel minimal 18 V untuk baterai 12 V,Jenis lampu,Letak di bawah pepohonan,Pembersihan panel setiap 6 bulan,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Dalam pekerjaan pengecatan luar gedung, nilai moisture content permukaan dinding sebelum pengecatan maksimum adalah…",15%,20%,25%,30%,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,Salah satu indikator efisiensi penggunaan air adalah…,Pengurangan total debit tanpa mempertimbangkan kebutuhan,Rasio penggunaan air per kapita terhadap standar efisiensi nasional,Penambahan sumur baru,Penggantian pipa besar,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,Penggunaan automatic timer pada sistem pencahayaan luar gedung bertujuan untuk…,Mengatur estetika cahaya,Menghemat energi dengan waktu operasi terjadwal,Menambah daya lampu,Menstabilkan arus listrik,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,Sistem pengelolaan air kampus berbasis Smart Eco Campus biasanya dilengkapi sensor untuk…,Mengukur pH air,Mendeteksi kebocoran dan volume penggunaan secara otomatis,Mendeteksi warna air,Mengatur tekanan pompa manual,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Dalam sistem panel surya kampus, inverter berfungsi untuk…",Menyimpan energi,Mengubah arus DC dari panel menjadi AC untuk distribusi listrik,Menyerap panas,Mengatur frekuensi jaringan,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Dalam sistem pencahayaan kampus, efisiensi energi lampu LED dibandingkan TL konvensional rata-rata mencapai…",10–15%,30–40%,50–60%,70–80%,C,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,Sensor PIR (Passive Infrared) akan gagal mendeteksi jika…,Ditempatkan di area dengan suhu latar tinggi mendekati suhu tubuh,Arus terlalu kecil,Ditempatkan di ruang tertutup,Tersambung dengan relay,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Ketika sistem monitoring air menampilkan data anomali tekanan negatif di jalur utama, kemungkinan penyebab teknisnya adalah…",Kebocoran pipa atau pompa tidak berfungsi optimal,Penurunan permintaan air,Kelebihan suplai,Pengaturan sensor salah,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Dalam sistem PLTS on-grid, fungsi utama inverter adalah…",Menyimpan daya,Sinkronisasi tegangan dan frekuensi dengan jaringan PLN,Mengubah AC ke DC,Mengatur suhu panel,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,Penghematan listrik optimal pada chiller dapat dilakukan dengan…,Mengatur suhu evaporator mendekati titik beku,Menurunkan chilled water temperature setpoint sesuai beban aktual,Menambah volume air pendingin,Mengoperasikan tanpa sensor,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Dalam pemeliharaan sistem hydrant, komponen yang paling sering gagal dan wajib diuji tekan adalah:",Valve utama,Pipa tegak,Nozzle,Tangki air,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Dalam audit energi, rasio antara konsumsi aktual dan konsumsi standar disebut:",Energy Utilization Index (EUI),Coefficient of Performance (COP),Load Factor,Thermal Efficiency,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,Analisis Life Cycle Cost (LCC) digunakan dalam pengelolaan sarpras untuk:,Menentukan efisiensi pembelian jangka pendek,Menilai total biaya kepemilikan aset hingga masa akhir pakai,Menilai nilai sisa bangunan,Menghitung depresiasi tahunan,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Apabila terdapat perbedaan antara gambar as-built dan kondisi nyata, teknisi harus:",Membuat catatan minor saja,Melakukan redline drawing untuk pembaruan dokumen,Mengabaikan karena tidak kritis,Mengabaikan karena tidak kritis,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,Dokumen “Maintenance History Card” digunakan untuk mencatat:,Estimasi biaya tahunan,Jadwal kerja teknisi,Data peralatan dan riwayat perbaikan,Daftar aset baru,C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Fungsi utama ruang terbuka hijau di kampus adalah …,Tempat parkir,Penyerap polutan udara,Gudang peralatan,Area komersial,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Tanaman yang sering digunakan sebagai peneduh di area kampus adalah…,Cemara,Jagung,Padi,Kaktus,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Alat yang digunakan untuk menyiram tanaman secara manual adalah…,Sprayer,Bor Listrik,Tang,Meteran,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Jenis pupuk yang umum digunakan untuk menyuburkan tanaman hijau adalah…,Pupuk Urea,Pupuk Kandang,Pupuk Pasir,Pupuk Kapur,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Warna standar rambu larangan merokok di area RTH adalah…,Hijau,Kuning,Merah,Biru,C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Sistem irigasi sederhana yang sering dipakai di taman kampus adalah…,Sprinkler otomatis,Saluran beton,Saluran beton,Drip irrigation,D,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Fungsi utama rumput di lapangan yaitu…,Tempat parkir,Estetika dan penyerapan air,Menyimpang barang,Mengurangi cahaya,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Sampah organik dari daun kering sebaiknya…,Dikomposkan,Dibakar,Disimpan di gudang,Dibuang ke sungai,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Fungsi dari water meter adalah untuk...,Mengukur volume pemakaian air,Mengukur suhu air,Mengukur debit air,Mengukur tekanan air,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Sistem instalasi air bersih yang menggunakan tekanan gravitasi umumnya maka tandon diletakkan di …,Ruang pompa,Lantai dasar,Atap bangunan,Basement,C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Pipa yang digunakan sebagai jalur utama distribusi air dari sumber disebut …,Pipa cabang,Pipa induk,Pipa fleksibel,Pipa paralel,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Alat yang digunakan untuk mengukur tekanan air dalam instalasi adalah …,Flowmeter,Barometer,Hydrometer,Manometer,D,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Jenis pipa yang sering digunakan untuk instalasi air bersih karena ringan dan tidak berkarat adalah …,Pipa PVC,Pipa tembaga,Pipa beton,Pipa besi,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Alat ukur yang digunakan untuk mengukur arus listrik adalah …,Amperemeter,Wattmeter,Voltmeter,Ohmmeter,C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,"Pada rangkaian listrik rumah, kabel fase biasanya memiliki warna …",Hijau,Kuning,Merah,Biru,C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,Standar operasional pemeliharaan rutin biasanya disusun berdasarkan...,Logbook,SOP,Estimasi teknisi,Peraturan informal,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,"Jika ditemukan retakan kecil pada dinding beton, langkah pertama teknisi adalah...",Mengecat ulang,Melakukan pemeriksaan visual dan dokumentasi,Membongkar dinding,Menutup dengan gypsum,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,"Dalam proses pengelolaan peminjaman peralatan, siapa yang bertanggung jawab melakukan validasi kondisi alat?",Teknisi Sarpras,SKK,Mahasiswa,Dosen,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,"Dalam pemeliharaan peralatan elektronik, kesalahan paling umum yang menyebabkan kerusakan adalah...",Tegangan rendah,Kabel terlalu panjang,Overheating akibat debu,Warna kabel salah,C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,Tujuan pemeriksaan sistem penerangan darurat adalah...,Menghemat energi,Menambah estetika,Mengurangi jumlah lampu,Menjamin fungsi saat keadaan darurat,D,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,Tindakan yang tepat jika panel listrik mengeluarkan percikan kecil saat diaktifkan adalah...,Membiarkan saja,Mematikan panel dan memeriksa instalasi,Menambah beban listrik,Mengganti kabel fase,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,"Dalam kegiatan pemeliharaan atap, penggunaan tali pengaman (safety harness) termasuk bagian dari..",K3 (Keselamatan dan Kesehatan Kerja),Efisiensi energi,Estetika,Dokumentasi,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,Tujuan utama pemangkasan pohon di area kampus adalah …,Menambah biaya,Mengurangi jumlah pohon,Mengurangi oksigen,Estetika dan keselamatan,D,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,Prinsip green campus dalam pengelolaan RTH adalah …,Mengurangi tanaman,Efisiensi energi dan ramah lingkungan,Menambah kendaraan,Penambahan beton,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,Sistem drainase di RTH berfungsi untuk …,Mengalirkan Air Hujan,Menyimpan alat,Mengurangi tanaman,Menyimpan pupuk,A,
